"Age-adjusted Hospitalizations From Amputation of a Lower Extremity Attributable to Diabetes, Rate Per 100,000 Population",,,,,,,,,,,,,,,,,,,,
,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Florida,"10,488",37.3,"10,366",37.4,"9,633",35.6,"8,768",33.5,"7,929",31,"7,395",29.4,"6,790",27.7,"6,167",25.6,"6,027",25.3,"5,936",25
Alachua,135,50.6,130,50.1,93,36.5,102,40.1,98,39.2,108,46,79,34.6,82,35.6,66,28.4,69,28.9
Baker,13,38,9,30.1,18,61.9,18,59.8,7,22.2,0,0,5,16.9,5,17.1,0,0,0,0
Bay,80,36.7,77,33.3,84,37.4,75,36.9,99,46.3,41,20.8,40,20.7,47,23.3,58,30.2,54,26.9
Bradford,18,50.7,23,67.8,26,76.5,19,55,12,40.8,20,58.8,13,43.9,6,20.6,5,13.9,10,28.7
Brevard,313,38,296,32.7,296,33.9,257,31.5,254,29.6,233,30.1,233,31.5,187,24.1,192,25.4,200,26
Broward,809,32.8,849,35.5,774,32.8,657,28.5,623,28.2,550,25.1,571,26.7,537,25.7,543,26.3,520,25.5
Calhoun,8,37.6,8,42.9,11,61.4,9,50.5,0,0,8,40.2,8,41.3,5,26,14,76,9,46.6
Charlotte,89,29.4,62,16.7,52,18.3,71,24.2,48,17,55,20.4,49,15.3,55,20.4,31,10.3,43,18.5
Citrus,83,41.8,75,32.2,95,43,66,27.9,46,18.6,88,37.3,70,32,54,27,68,29.5,74,32
Clay,69,25,93,34.3,102,40.3,84,33.2,61,24.7,59,25.9,49,22.4,42,19.9,47,22.8,51,24.6
Collier,95,17.9,136,22.4,124,21.6,107,20.8,88,16.5,94,17.5,85,16.9,63,12.2,58,10.9,64,13.6
Columbia,54,58.7,45,51,41,51.8,32,33.9,38,44.1,48,60,22,27.7,26,33,32,43.3,21,24.8
Miami-Dade,"1,268",35.9,"1,260",36,"1,233",36.5,"1,198",36.7,"1,099",34.7,"1,083",35.5,"1,005",33.6,906,31,830,29,826,28.8
DeSoto,20,49.1,21,50.5,23,56.6,20,51.2,20,49.5,16,36.8,0,0,10,22.2,5,12.9,7,15.3
Dixie,13,61.6,19,84.1,13,44.2,16,61.9,14,48.1,12,47.8,14,62.1,13,57.3,7,30.2,7,25.1
Duval,604,55.6,558,51.9,487,46.7,468,46.2,437,43.9,383,40.7,392,42,338,38.1,330,36.9,354,39.2
Escambia,230,58.9,201,51.7,231,65,182,51,159,45.8,144,42.4,126,35.7,130,37.9,132,38.6,114,34.7
Flagler,77,42.6,59,33.9,56,31.8,59,32.2,44,27,59,37.3,40,28.4,31,22.4,44,26.7,43,27.7
Franklin,12,95.7,6,35.3,12,68.1,7,40.6,8,42,0,0,5,33.7,0,0,0,0,0,0
Gadsden,24,41.9,39,68.2,38,56.7,45,77.1,30,54.6,28,49.2,21,33.8,29,57.5,23,40.1,34,61.8
